ma_service,title,layout,meta_title,bigimg,image,tags,categories,transport,location,duration,discount,price
SV_CONS01,"Tư vấn lịch trình du lịch cá nhân",post,"Tư vấn lịch trình du lịch cá nhân","/img/service/tu-van-lich-trinh-du-lich-ca-nhan.webp","/img/service/tu-van-lich-trinh-du-lich-ca-nhan.webp","tư vấn du lịch, lịch trình cá nhân, hỗ trợ khách hàng","[service#consult]","","Toàn thế giới","","",""
SV_CONS02,"Tư vấn xin visa du lịch",post,"Tư vấn xin visa du lịch","/img/service/tu-van-xin-visa-du-lich.jpg","/img/service/tu-van-xin-visa-du-lich.jpg","tư vấn visa, hỗ trợ visa, du lịch quốc tế","[service#consult]","","Toàn thế giới","","",""
SV_CONS03,"Tư vấn điểm đến & mùa du lịch",post,"Tư vấn điểm đến & mùa du lịch","/img/service/tu-van-diem-den-mua-du-lich.jpg","/img/service/tu-van-diem-den-mua-du-lich.jpg","tư vấn điểm đến, mùa du lịch, chọn tour","[service#consult]","","Toàn thế giới","","",""
SV_HOTEL01,"Đặt khách sạn giá tốt",post,"Đặt khách sạn giá tốt","/img/service/dat-khach-san-gia-tot.webp","/img/service/dat-khach-san-gia-tot.webp","đặt khách sạn, khách sạn giá rẻ, phòng nghỉ","[service#hotel]","","Toàn thế giới","","",""
SV_HOTEL02,"Đặt resort & villa cao cấp",post,"Đặt resort & villa cao cấp","/img/service/dat-resort-villa-cao-cap.png","/img/service/dat-resort-villa-cao-cap.png","đặt resort, villa, nghỉ dưỡng cao cấp","[service#hotel]","","Toàn thế giới","","",""
SV_HOTEL03,"Đặt phòng khách sạn theo đoàn",post,"Đặt phòng khách sạn theo đoàn","/img/service/dat-phong-khach-san-theo-doan.jpg","/img/service/dat-phong-khach-san-theo-doan.jpg","đặt phòng đoàn, khách sạn đoàn, hội nghị","[service#hotel]","","Toàn thế giới","","",""
SV_CAR01,"Thuê xe du lịch 4-7 chỗ",post,"Thuê xe du lịch 4-7 chỗ","/img/service/thue-xe-du-lich-4-7-cho.webp","/img/service/thue-xe-du-lich-4-7-cho.webp","thuê xe du lịch, xe 4 chỗ, xe 7 chỗ","[service#carRental]","","Toàn thế giới","","",""
SV_CAR02,"Thuê xe du lịch 16-45 chỗ",post,"Thuê xe du lịch 16-45 chỗ","/img/service/thue-xe-du-lich-16-45-cho.jpg","/img/service/thue-xe-du-lich-16-45-cho.jpg","thuê xe đoàn, xe 16 chỗ, xe 45 chỗ","[service#carRental]","","Toàn thế giới","","",""
SV_CAR03,"Thuê xe tự lái",post,"Thuê xe tự lái","/img/service/thue-xe-tu-lai.webp","/img/service/thue-xe-tu-lai.webp","thuê xe tự lái, xe cá nhân, xe gia đình","[service#carRental]","","Toàn thế giới","","",""
SV_PKG01,"Tour trọn gói trong nước",post,"Tour trọn gói trong nước","/img/service/tour-tron-goi-trong-nuoc.png","/img/service/tour-tron-goi-trong-nuoc.png","tour trọn gói, tour nội địa, du lịch việt nam","[service#packageTour]","","Toàn thế giới","","",""
