ma_tour,title,layout,meta_title,bigimg,image,tags,categories,transport,location,duration,discount,price
IT01,"Tour Nhật Bản Mùa Hoa Anh Đào",post,"Nhật Bản Mùa Hoa Anh Đào","/img/tours/international/22072.jpg","/img/tours/international/22072.jpg","tour nhật bản, hoa anh đào, du lịch nhật bản, tour quốc tế, tour tokyo, tour kyoto, tour osaka","[tours#international]","✈️","Tokyo - Kyoto - Osaka","5N4Đ",8,"32.900.000"
IT02,"Tour Đài Loan Trọn Gói: Đài Bắc – Cao Hùng – Đài Trung",post,"Tour Đài Loan Trọn Gói","/img/Picture-HSL/taiwan.jpg","/img/Picture-HSL/taiwan.jpg","tour đài loan, du lịch đài loan, tour quốc tế, tour đài bắc, tour cao hùng, tour đài trung","[tours#international]","✈️ + 🚌","Đài Bắc – Cao Hùng – Đài Trung","5N4Đ",10,"15.900.000"
IT03,"Tour Trung Quốc 3N2Đ: Hà Khẩu – Bình Biên – Kiến Thủy – Mông Tự",post,"Hà Khẩu – Bình Biên – Kiến Thủy – Mông Tự","/img/tours/international/Chup-hinh-tour-Binh-Bien-Kien-Thuy-800x533.jpg","/img/tours/international/Chup-hinh-tour-Binh-Bien-Kien-Thuy-800x533.jpg","tour trung quốc, du lịch trung quốc, tour quốc tế, tour hà khẩu, tour bình biên, tour kiến thủy, tour mông tự","[tours#international, special-offer, hot]","✈️ + 🚌","Hà Khẩu – Bình Biên – Kiến Thủy – Mông Tự","3N2Đ",12,"11.900.000"
IT04,"Tour Hàn Quốc Seoul - Nami",post,"Hàn Quốc Seoul - Nami","/img/tours/international/3075.jpg","/img/tours/international/3075.jpg","tour hàn quốc, du lịch hàn quốc, tour seoul, tour nami, tour quốc tế","[tours#international]","✈️","Seoul - Đảo Nami","4N3Đ",12,"18.900.000"
IT05,"Tour Châu Âu 4 Nước",post,"Châu Âu 4 Nước","/img/tours/international/deep-9dR2lg5-gPE-unsplash.svg","/img/tours/international/deep-9dR2lg5-gPE-unsplash.svg","tour châu âu, du lịch châu âu, tour pháp, tour đức, tour thụy sĩ, tour ý, tour quốc tế","[tours#international]","✈️","Pháp - Đức - Thụy Sĩ - Ý","8N7Đ",15,"49.900.000"
IT06,"Tour Singapore - Malaysia 5N4Đ",post,"Singapore - Malaysia 5N4Đ","/img/tours/international/Cong-vien-su-tu-bien-Singapore-800x533.jpg","/img/tours/international/Cong-vien-su-tu-bien-Singapore-800x533.jpg","tour singapore, tour malaysia, du lịch singapore, du lịch malaysia, tour quốc tế, đông nam á","[tours#international]","✈️ + 🚌","Singapore - Kuala Lumpur","5N4Đ",8,"21.500.000"
IT07,"Tour Thái Lan Bangkok - Pattaya",post,"Thái Lan Bangkok - Pattaya","/img/tours/international/hongkong.jpg","/img/tours/international/hongkong.jpg","tour thái lan, du lịch thái lan, tour bangkok, tour pattaya, tour quốc tế","[tours#international]","✈️ + 🚌","Bangkok - Pattaya","5N4Đ",10,"12.900.000"
IT08,"Tour Úc Sydney - Melbourne",post,"Úc Sydney - Melbourne","/img/tours/international/japan-background.jpg","/img/tours/international/japan-background.jpg","tour úc, du lịch úc, tour sydney, tour melbourne, tour quốc tế, australia tour","[tours#international]","✈️","Sydney - Melbourne","7N6Đ",15,"59.900.000"
IT09,"Tour Mỹ Bờ Tây",post,"Mỹ Bờ Tây","/img/tours/international/hongkong.jpg","/img/tours/international/hongkong.jpg","tour mỹ, du lịch mỹ, tour bờ tây, tour los angeles, tour las vegas, tour san francisco, tour quốc tế","[tours#international]","✈️","Los Angeles - Las Vegas - San Francisco","10N9Đ",18,"89.900.000"
IT10,"Tour Maldives Nghỉ Dưỡng",post,"Maldives Nghỉ Dưỡng","/img/tours/international/Chup-hinh-tour-Binh-Bien-Kien-Thuy-800x533.jpg","/img/tours/international/Chup-hinh-tour-Binh-Bien-Kien-Thuy-800x533.jpg","tour maldives, du lịch maldives, nghỉ dưỡng biển, resort maldives, tour quốc tế","[tours#international]","✈️","Malé - Resort Maldives","5N4Đ",10,"55.900.000"
